	1\nnew_experiment\n	2\nnew_experiment\n	3\nnew_experiment\n	4\nnew_experiment\n	5\nnew_experiment\n	6\nnew_experiment\n	7\nnew_experiment\n	8\nnew_experiment\n	9\nnew_experiment\n	10\nnew_experiment\n	11\nnew_experiment\n	12\nnew_experiment\n	13\nnew_experiment\n	14\nnew_experiment\n	15\nnew_experiment\n	16\nnew_experiment\n	17\nnew_experiment\n	18\nnew_experiment\n	19\nnew_experiment\n	20\nnew_experiment\n	
1.46656	0.24101	0.264741	0.0728374	0.0538917	0.0240326	0.0292702	0.101438	0.0739288	0.022583	0.0600458	0.00947508	0.131895	0.108399	0.154831	0.136157	0.0936534	0.162354	0.295934	0.139094	0.445614	
1.4668	0.247762	0.25978	0.070011	0.0600045	0.0262451	0.0256844	0.120674	0.0857697	0.0208435	0.0558784	-0.00159356	0.131569	0.0980968	0.161819	0.139449	0.0845035	0.158146	0.302346	0.134902	0.400928	
1.46704	0.254514	0.254819	0.0671847	0.0688567	0.0284538	0.0224075	0.139898	0.0975952	0.0286255	0.0517109	-0.0126622	0.131244	0.0877831	0.169098	0.138243	0.0792061	0.162888	0.310651	0.130709	0.36204	
1.46729	0.261265	0.249858	0.0643584	0.0728389	0.0306816	0.0191269	0.159134	0.109436	0.0364685	0.0475435	-0.0237308	0.130919	0.0774811	0.176392	0.137047	0.0827148	0.167633	0.323283	0.126527	0.331598	
1.46753	0.26924	0.248886	0.0670976	0.0707337	0.028801	0.0198441	0.172739	0.129013	0.0388641	0.0471863	-0.0231991	0.131172	0.075475	0.166733	0.138934	0.0879662	0.170135	0.335916	0.12615	0.313444	
1.46777	0.277215	0.247913	0.0698492	0.0637585	0.0269356	0.0254784	0.186357	0.14859	0.0413055	0.0468291	-0.0226675	0.131425	0.0734807	0.157082	0.140832	0.0932177	0.172642	0.348548	0.125773	0.295291	
1.46802	0.294974	0.246941	0.0726008	0.0592182	0.0250549	0.0283508	0.204831	0.167892	0.0437012	0.0464719	-0.0221358	0.131678	0.0805493	0.147415	0.142718	0.0990195	0.175148	0.354689	0.125396	0.277664	
1.46826	0.312745	0.245969	0.0753524	0.054678	0.0231895	0.0312309	0.230923	0.187195	0.0461578	0.0461266	-0.0216041	0.131943	0.0876178	0.137764	0.144616	0.104821	0.177666	0.356515	0.12503	0.260049	
1.4685	0.329739	0.254258	0.0778923	0.0555151	0.0196724	0.029541	0.262431	0.210159	0.0436554	0.0393397	-0.0154293	0.13451	0.0911345	0.141098	0.157914	0.114201	0.170334	0.352605	0.119551	0.248704	
1.46875	0.346734	0.26256	0.0804447	0.0563521	0.0161591	0.0278511	0.293951	0.228485	0.0411835	0.0325528	-0.00924253	0.137077	0.0946628	0.144432	0.171212	0.12358	0.163006	0.34004	0.114071	0.23736	
1.46899	0.353944	0.270862	0.0898699	0.0574934	0.0129471	0.0261574	0.316032	0.242447	0.0387115	0.0257659	-0.00305569	0.139644	0.0981794	0.147766	0.184511	0.124153	0.155678	0.323418	0.108592	0.226015	
1.46923	0.361154	0.279164	0.104076	0.0586349	0.00975037	0.0244675	0.327459	0.251755	0.0362396	0.0189789	0.00313115	0.142211	0.101708	0.151108	0.19782	0.124727	0.148346	0.306797	0.103124	0.214682	
1.46948	0.360619	0.287466	0.117075	0.0653564	0.0193291	0.0227776	0.32659	0.256226	0.0337677	0.0144781	0.0147315	0.135715	0.0977664	0.154442	0.204464	0.123649	0.141018	0.293962	0.109712	0.202107	
1.46972	0.360084	0.295768	0.130086	0.076948	0.0338249	0.0210876	0.315068	0.256042	0.0312958	0.00997731	0.0263318	0.129219	0.0938368	0.157791	0.211119	0.122571	0.133686	0.281126	0.116301	0.189532	
1.46996	0.359549	0.30407	0.146085	0.0952357	0.0455475	0.0193977	0.291832	0.24704	0.0288239	0.0054765	0.0379321	0.131979	0.0967043	0.161125	0.217199	0.121493	0.126358	0.268291	0.122889	0.177485	
1.47021	0.359027	0.312372	0.157303	0.113523	0.0572853	0.0177193	0.260979	0.230286	0.0263519	0.000987604	0.0495324	0.134751	0.104103	0.164467	0.23229	0.120415	0.119041	0.255467	0.129489	0.165449	
1.47045	0.363091	0.320075	0.163504	0.121665	0.0620537	0.0245972	0.231851	0.207214	0.0211945	-0.00357273	0.0528433	0.141235	0.119527	0.171806	0.246268	0.123419	0.119671	0.237663	0.14149	0.151051	
1.47069	0.367155	0.327779	0.169704	0.12495	0.0668221	0.0314751	0.202736	0.184143	0.0159912	-0.00813307	0.0561543	0.14773	0.139493	0.179146	0.260245	0.126424	0.1203	0.219858	0.153492	0.145099	
1.47093	0.371219	0.335482	0.175307	0.130961	0.0715904	0.038353	0.173418	0.160599	0.010849	-0.0122171	0.0594652	0.154503	0.16398	0.184181	0.26485	0.129428	0.12093	0.20016	0.166025	0.148459	
1.47118	0.375282	0.343198	0.180922	0.136985	0.0763702	0.0452309	0.144112	0.137054	0.00566101	-0.0163012	0.0627882	0.161288	0.193009	0.19384	0.260468	0.132432	0.121559	0.184789	0.17857	0.15182	
1.47142	0.381792	0.340531	0.184832	0.143301	0.0796051	0.0502625	0.121365	0.112228	0.00111389	-0.0128601	0.0703526	0.165554	0.225803	0.207924	0.24717	0.128831	0.119762	0.180417	0.195452	0.159738	
1.47166	0.388302	0.337876	0.18396	0.14963	0.0828514	0.0552979	0.1032	0.0874329	-0.003479	-0.0017986	0.077929	0.17446	0.26314	0.226631	0.233883	0.125231	0.11797	0.184699	0.220852	0.167667	
