	1\nnew_experiment\n	2\nnew_experiment\n	3\nnew_experiment\n	4\nnew_experiment\n	5\nnew_experiment\n	6\nnew_experiment\n	7\nnew_experiment\n	8\nnew_experiment\n	9\nnew_experiment\n	10\nnew_experiment\n	11\nnew_experiment\n	12\nnew_experiment\n	13\nnew_experiment\n	14\nnew_experiment\n	15\nnew_experiment\n	16\nnew_experiment\n	17\nnew_experiment\n	18\nnew_experiment\n	19\nnew_experiment\n	20\nnew_experiment\n	
3.63221	0.228704	0.240858	0.0464418	0.121386	0.129147	0.0401726	0.21189	0.0568848	0.0721741	-0.0402578	0.119896	-0.00541909	0.0291929	0.102806	-0.0339181	0.0289731	0.0392685	-0.0134633	-0.0361788	0.0671693	
3.63246	0.229876	0.243176	0.0477118	0.124696	0.151005	0.0443344	0.217389	0.0564423	0.0675964	-0.04177	0.116065	-0.0105892	0.0295942	0.1007	-0.0375033	0.023584	0.02631	-0.00974464	-0.0405601	0.0520908	
3.6327	0.23106	0.245495	0.0489942	0.128007	0.172867	0.0485077	0.227471	0.0559998	0.0582428	-0.0432703	0.112235	-0.0080463	0.0299954	0.0986099	-0.0410768	0.0270009	0.0088768	-0.00601465	-0.0449413	0.0370232	
3.63294	0.23529	0.247814	0.0475748	0.131317	0.194729	0.0529938	0.235268	0.0555573	0.0518951	-0.0356261	0.108404	0.000956118	0.0301134	0.0965118	-0.044662	0.0373892	-0.0034256	0.00635853	-0.0450633	0.03039	
3.63319	0.23464	0.250132	0.050949	0.134627	0.216602	0.057476	0.243064	0.0551147	0.0455627	-0.0279818	0.104574	0.00997058	0.0302432	0.0944214	-0.0482355	0.0521805	-0.00529099	0.018743	-0.0451853	0.0237568	
3.63343	0.226742	0.261226	0.0600878	0.142299	0.235806	0.0717964	0.248468	0.0549622	0.0474091	-0.0186349	0.100743	0.0180089	0.0303612	0.100014	-0.0495712	0.0626605	0.000301361	0.0267889	-0.0448637	0.0229222	
3.63367	0.218856	0.27232	0.0692391	0.149972	0.250111	0.0910339	0.253884	0.0548248	0.0540466	-0.00927612	0.0969125	0.0260592	0.0304792	0.105621	-0.0508952	0.0643346	0.00589371	0.0348461	-0.044542	0.0220875	
3.63392	0.210958	0.283115	0.0786767	0.15734	0.255096	0.114265	0.259586	0.0549622	0.0579681	8.26865e-05	0.093082	0.0294698	0.0305972	0.110939	-0.0522191	0.0556432	0.00766754	0.0429034	-0.0484796	0.0296872	
3.63416	0.203072	0.293923	0.0881268	0.164709	0.251915	0.142422	0.265288	0.0551147	0.0619049	0.00944149	0.0892635	0.0328924	0.030727	0.116264	-0.0535431	0.0381574	0.00943756	0.0509606	-0.0524172	0.0372868	
3.6344	0.202104	0.296329	0.0960829	0.168209	0.23698	0.167549	0.272811	0.0600739	0.0609283	0.0219318	0.0856867	0.0297229	0.0297948	0.117348	-0.0483878	0.0222769	0.012619	0.0571359	-0.0512859	0.0453697	
3.63465	0.206028	0.293948	0.104039	0.166852	0.217152	0.187775	0.284917	0.0697021	0.0599518	0.0344221	0.0821221	0.0265654	0.0288625	0.113815	-0.0432209	0.00640778	0.0158005	0.0633225	-0.0501545	0.0534635	
3.63489	0.213926	0.294259	0.111995	0.168222	0.199883	0.199905	0.299593	0.0813599	0.0589905	0.0509132	0.0785453	0.0234079	0.0279303	0.112892	-0.0380657	-0.000299901	0.0189819	0.0694978	-0.0419243	0.0475002	
3.63513	0.226729	0.294571	0.119951	0.169604	0.18261	0.202198	0.321888	0.0930176	0.0580444	0.0597957	0.0749806	0.0202504	0.026998	0.111969	-0.0328988	0.00180987	0.0221634	0.0756844	-0.0336942	0.0415369	
3.63538	0.239519	0.298572	0.123325	0.164988	0.165848	0.188709	0.354456	0.103897	0.0588379	0.0539971	0.0768173	0.0168037	0.0260658	0.113045	-0.0359919	0.0106961	0.0250626	0.0834824	-0.0275937	0.0390879	
3.63562	0.247418	0.302574	0.126699	0.160384	0.153999	0.170303	0.391606	0.114792	0.0596924	0.0436262	0.0786662	0.013357	0.0251335	0.114143	-0.0390733	0.0195938	0.0279655	0.0912917	-0.0214932	0.0366389	
3.63586	0.251341	0.306276	0.129774	0.155768	0.142147	0.154049	0.428566	0.130325	0.0605011	0.0353509	0.080515	0.00991032	0.0242012	0.115242	-0.0421547	0.0290419	0.0308647	0.099101	-0.0196519	0.0341899	
3.63611	0.250386	0.309991	0.13285	0.151164	0.125385	0.137794	0.460955	0.145874	0.0613251	0.0270875	0.0823637	0.00646362	0.0232808	0.116333	-0.0452361	0.03849	0.0337677	0.10691	-0.0178107	0.0317408	
3.63635	0.24901	0.30766	0.13463	0.150885	0.106567	0.118046	0.485809	0.169006	0.0705261	0.0172405	0.0873905	0.00213715	0.0228442	0.115685	-0.0406902	0.0478807	0.0332184	0.111959	-0.0194301	0.0268648	
3.63659	0.247634	0.300542	0.13163	0.150619	0.0877609	0.0983086	0.50001	0.192154	0.0796509	0.00739352	0.0924295	-0.00217725	0.0224076	0.115044	-0.0361325	0.0572829	0.0326729	0.117018	-0.0210495	0.0219997	
3.63684	0.245953	0.296117	0.124446	0.15034	0.0661964	0.0785713	0.504593	0.211411	0.0795593	0.00669101	0.0974563	-0.00649166	0.0219709	0.11441	-0.0315865	0.0666737	0.0321236	0.117469	-0.0269282	0.0171346	
3.63708	0.244284	0.291692	0.11248	0.150074	0.0495377	0.0588341	0.49851	0.222931	0.0794373	0.00600041	0.102495	-0.0108061	0.0215343	0.11377	-0.0270289	0.0760759	0.0315781	0.110719	-0.0328069	0.0122695	
3.63732	0.249227	0.290956	0.0976267	0.145736	0.0398331	0.0409393	0.484036	0.223206	0.0792999	0.0140614	0.102108	-0.00692551	0.0210977	0.108498	-0.0262321	0.0685885	0.0358772	0.0977375	-0.0385968	0.0179472	
3.63756	0.25417	0.290221	0.082773	0.141412	0.035038	0.0230446	0.469573	0.215729	0.0839996	0.0221223	0.101734	-0.00304496	0.0206611	0.103241	-0.0254237	0.0611126	0.0401764	0.0847671	-0.0443867	0.023625	
3.63781	0.264004	0.289485	0.0744933	0.137074	0.0376091	0.0149918	0.454444	0.204666	0.0904388	0.0301833	0.101359	-0.0068773	0.0202245	0.0979843	-0.0246153	0.0536367	0.0529594	0.0713459	-0.0402384	0.0293028	
3.63805	0.273852	0.288762	0.0709946	0.13275	0.0401802	0.00693512	0.439315	0.193604	0.0969238	0.0382562	0.100985	-0.0107097	0.0197996	0.09272	-0.0238068	0.0461608	0.0657425	0.0579247	-0.03609	0.0349806	
3.63829	0.283101	0.284811	0.0704593	0.128679	0.0439377	0.00697327	0.419829	0.187103	0.0992737	0.0378156	0.104163	-0.0147348	0.0202127	0.0926056	-0.0254237	0.04154	0.077301	0.0539356	-0.0342599	0.0380116	
3.63854	0.292349	0.280859	0.0699239	0.124608	0.0476952	0.00701141	0.400355	0.185257	0.0968628	0.037387	0.107353	-0.018748	0.0206375	0.0924988	-0.0270289	0.0369306	0.0814018	0.0499576	-0.0324297	0.0410537	
3.63878	0.2964	0.274215	0.0696873	0.120537	0.0542145	0.00704956	0.374584	0.185913	0.0971375	0.0280996	0.107631	-0.0227611	0.0185134	0.0923767	-0.0286457	0.0323097	0.0807495	0.0459797	-0.0305996	0.0440848	
3.63902	0.292311	0.272358	0.0694508	0.116478	0.0558281	0.00708771	0.344255	0.191254	0.0973816	0.0188122	0.112561	-0.0267742	0.0209207	0.0922699	-0.0302509	0.0277003	0.0800972	0.0420018	-0.0287694	0.0471268	
3.63927	0.280769	0.271797	0.0698118	0.113625	0.0526314	0.00527954	0.314484	0.197342	0.0973511	0.0104774	0.120379	-0.0214475	0.0272812	0.0944595	-0.0371167	0.03849	0.0884895	0.04163	-0.0263181	0.0536722	
3.63951	0.26924	0.271236	0.0701729	0.110784	0.0494347	0.00347519	0.289297	0.20343	0.0973358	0.00671482	0.123569	-0.0161087	0.0336536	0.0966568	-0.0439708	0.049291	0.0968781	0.0412581	-0.0238668	0.0602285	
3.63975	0.262386	0.270974	0.070534	0.107931	0.0459328	0.00167084	0.27068	0.203323	0.0972748	0.00647669	0.120669	-0.00662422	0.0428581	0.0988617	-0.0508249	0.0600806	0.104988	0.0408862	-0.0214155	0.0667849	
3.64	0.263699	0.270712	0.070895	0.10509	0.0424309	-0.00012207	0.252063	0.19548	0.0972748	0.0108108	0.117769	0.00286023	0.0475311	0.101067	-0.0576789	0.0708817	0.113098	0.0405143	-0.0189532	0.0733412	
3.64024	0.272081	0.2706	0.0667738	0.103783	0.0457268	0.00473022	0.231959	0.185043	0.0975342	0.0122277	0.117612	0.00534283	0.0487938	0.103973	-0.0514224	0.0711684	0.11776	0.0421596	-0.0196519	0.0804577	
3.64048	0.280464	0.270488	0.0626527	0.102477	0.0490265	0.00958633	0.216437	0.174622	0.0977783	0.00603613	0.122107	0.000124559	0.0500682	0.106895	-0.0451541	0.0714665	0.117947	0.0438161	-0.0203507	0.0875851	
3.64073	0.284158	0.270077	0.0585315	0.101171	0.0523224	0.0144386	0.204902	0.161087	0.0935669	-0.00472769	0.12398	-0.0110712	0.0510595	0.10952	-0.0388976	0.0717531	0.113937	0.0454727	-0.0210495	0.0947015	
3.64097	0.279712	0.269665	0.0544103	0.0998774	0.0556221	0.0192947	0.197951	0.152222	0.0893402	-0.0154915	0.125865	-0.022267	0.0520507	0.11216	-0.0326293	0.0720512	0.105453	0.0471292	-0.0217483	0.101829	
3.64121	0.272705	0.274041	0.0580584	0.101006	0.0564651	0.0196381	0.197082	0.144699	0.0868988	-0.0187302	0.123581	-0.0326071	0.0507645	0.122581	-0.0216862	0.0750898	0.0885811	0.0482448	-0.0224471	0.0998082	
3.64146	0.265711	0.273629	0.0617064	0.102147	0.0573082	0.0199852	0.196225	0.137177	0.0892944	-0.0219689	0.121309	-0.0352222	0.04949	0.128387	-0.0107314	0.0781398	0.067234	0.0493604	-0.0231459	0.0977985	
3.6417	0.258705	0.263146	0.0656533	0.103276	0.0581551	0.0108032	0.195939	0.129944	0.0937347	-0.0252075	0.119328	-0.0313779	0.0482155	0.127563	-0.000338919	0.0723723	0.0486832	0.050476	-0.0238447	0.0957888	
3.64194	0.251711	0.247876	0.0696002	0.104418	0.0589981	0.00163269	0.195653	0.122726	0.0982056	-0.0284462	0.117346	-0.0275334	0.0469411	0.126732	0.0100535	0.0666163	0.03759	0.0515916	-0.0245324	0.093779	
3.64219	0.248641	0.237742	0.0730615	0.108552	0.0587425	-0.00415802	0.197451	0.119812	0.1008	-0.0238621	0.119086	-0.0223875	0.0442151	0.129105	0.0160172	0.0585098	0.0324974	0.0544314	-0.0275715	0.0867065	
3.64243	0.253724	0.235597	0.0813163	0.112686	0.0584984	-0.00502777	0.203819	0.116913	0.103394	-0.019266	0.125478	-0.0172415	0.0414892	0.131485	0.0129826	0.0504147	0.0318794	0.0572824	-0.0306107	0.079634	
3.64267	0.264004	0.238228	0.0964315	0.114081	0.0582428	-0.000980377	0.207616	0.114288	0.104202	-0.0146699	0.128958	-0.0120956	0.0387632	0.136742	0.00601137	0.0423082	0.0336876	0.0519297	-0.0336498	0.0725615	
3.64292	0.274298	0.24087	0.111559	0.120359	0.0579987	0.00798416	0.211413	0.111694	0.10022	-0.0100739	0.132451	-0.00693756	0.0360491	0.13739	-0.000959888	0.0342131	0.0354919	0.046577	-0.036689	0.0655	
3.64316	0.284782	0.24001	0.1203	0.129871	0.0531425	0.0215607	0.21064	0.113235	0.0980225	-0.00319171	0.131871	-0.0034306	0.0355889	0.132256	-0.00596278	0.0272073	0.0367393	0.0484363	-0.0333393	0.0619418	
3.6434	0.295279	0.239163	0.129052	0.139395	0.0482979	0.0449753	0.209866	0.119446	0.100632	0.00369048	0.126662	7.63535e-05	0.0351404	0.131752	-0.0109657	0.020213	0.0379868	0.0575078	-0.0299895	0.0583945	
3.64365	0.300872	0.238302	0.133012	0.149211	0.0409851	0.0699234	0.215949	0.128159	0.109512	0.0105727	0.124065	0.00358333	0.034397	0.137596	-0.0114695	0.0220131	0.0437088	0.0682921	-0.0266398	0.0548363	
