	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
3.23742	-0.400845	-0.267817	-0.47192	-0.3167	-0.303966	-0.760333	-3.49052	0.169336	-2.00026	0.0446076	0.121977	-0.00481251	-0.0560912	-0.0558225	0.0352521	0.00319865	0.0413044	-0.0204894	-0.0656979	0.0461026	
3.23766	-0.39461	-0.271993	-0.473071	-0.309515	-0.306295	-0.766418	-3.48528	0.166771	-2.00556	0.0467403	0.123317	-0.0144172	-0.0490988	-0.0614043	0.0299222	0.00481622	0.0423254	-0.0102193	-0.0714577	0.0363548	
3.2379	-0.387502	-0.277317	-0.470915	-0.301636	-0.311889	-0.770648	-3.48302	0.168182	-2.00818	0.0534917	0.128222	-0.0201303	-0.0419431	-0.0679539	0.0261203	0.00387631	0.0412772	-0.00118448	-0.083438	0.0260706	
3.23815	-0.379374	-0.279943	-0.466477	-0.295812	-0.318467	-0.7712	-3.4858	0.174336	-2.00658	0.0614203	0.134735	-0.019585	-0.034885	-0.0758649	0.0246891	0.000391721	0.0388766	0.00548218	-0.0940241	0.0199981	
3.23839	-0.371028	-0.279093	-0.462045	-0.294255	-0.32594	-0.769175	-3.49119	0.183491	-2.00071	0.0647129	0.142114	-0.0144936	-0.028338	-0.0837655	0.0255997	-0.00481399	0.0375125	0.00961062	-0.0983714	0.0203085	
3.23863	-0.364586	-0.277327	-0.458935	-0.296714	-0.332611	-0.765535	-3.49354	0.189829	-1.99241	0.0614228	0.150041	-0.0112828	-0.0222226	-0.0884439	0.0272883	-0.00797	0.0378517	0.00918298	-0.0972761	0.0277331	
3.23888	-0.35985	-0.276291	-0.45443	-0.302348	-0.337812	-0.759762	-3.49054	0.188333	-1.98409	0.0544287	0.158229	-0.014844	-0.0156875	-0.0892331	0.0281041	-0.00656864	0.0384329	0.00244515	-0.0947383	0.040205	
3.23912	-0.355202	-0.275058	-0.444334	-0.3116	-0.342811	-0.751819	-3.4849	0.180281	-1.9778	0.0475731	0.166284	-0.0236134	-0.00836235	-0.0892648	0.0277556	-0.00215244	0.0394975	-0.00827965	-0.0930327	0.0522744	
3.23936	-0.351248	-0.273107	-0.428595	-0.323482	-0.34703	-0.74525	-3.48101	0.170607	-1.97315	0.0430517	0.172634	-0.0321711	-0.00106539	-0.0911012	0.0275003	0.00129248	0.0428335	-0.0185806	-0.0901888	0.0582539	
3.23961	-0.349854	-0.271052	-0.410702	-0.334782	-0.349359	-0.743805	-3.48199	0.162578	-1.96939	0.0404573	0.176696	-0.0376045	0.00472398	-0.0935828	0.0291355	0.00184295	0.0470791	-0.0241115	-0.0835773	0.0585361	
3.23985	-0.35274	-0.267591	-0.394101	-0.341479	-0.351351	-0.747801	-3.48878	0.156215	-1.96722	0.03762	0.179823	-0.0394232	0.00790424	-0.0937045	0.0341262	0.000225399	0.0499587	-0.0231105	-0.0745093	0.0577347	
