	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
3.20312	-0.0107879	-0.239858	0.0327988	0.0699359	-0.0332494	-0.329745	-0.043584	-0.0649703	-0.0049153	0.0226193	-0.154569	-0.124437	0.0155298	-0.187555	-0.160184	-0.139451	-0.16707	-0.145843	-0.0784999	-0.123908	
3.20336	-0.00901286	-0.241772	0.0276374	0.0668734	-0.0286151	-0.34071	-0.0486285	-0.0651022	-0.00626304	0.0229185	-0.150726	-0.134569	0.0143593	-0.18712	-0.162774	-0.136898	-0.163025	-0.148652	-0.0816993	-0.122869	
3.20361	-0.00730989	-0.243151	0.0267156	0.0622416	-0.0214335	-0.349551	-0.0508993	-0.0665501	-0.0059952	0.0261083	-0.152097	-0.139121	0.0114155	-0.186695	-0.16401	-0.135068	-0.157567	-0.150225	-0.087887	-0.122703	
3.20385	-0.00655564	-0.243611	0.0279554	0.0569174	-0.0133313	-0.354447	-0.0492188	-0.0681624	-0.00328222	0.0315757	-0.157926	-0.138041	0.00750528	-0.186589	-0.164624	-0.136439	-0.151962	-0.149813	-0.0945629	-0.122774	
3.20409	-0.00531381	-0.244132	0.0315753	0.0509105	-0.00609427	-0.356138	-0.0443444	-0.0685496	-0.000922225	0.0361017	-0.164977	-0.135099	0.00342942	-0.186073	-0.166495	-0.140384	-0.147817	-0.147687	-0.0996405	-0.123074	
3.20434	-0.00162932	-0.244148	0.0385006	0.0439066	-0.000538903	-0.356708	-0.0391372	-0.0681089	-0.002295	0.0362097	-0.170381	-0.133803	-0.000682099	-0.184891	-0.170993	-0.143508	-0.146326	-0.144238	-0.103099	-0.12291	
3.20458	0.003687	-0.24486	0.0478787	0.0372901	0.00332258	-0.358282	-0.036458	-0.068464	-0.00674097	0.0316028	-0.174185	-0.134082	-0.00354044	-0.183797	-0.175952	-0.144395	-0.147605	-0.140422	-0.105746	-0.121304	
3.20482	0.00874624	-0.248267	0.056207	0.0337412	0.00692886	-0.359792	-0.0362637	-0.0693598	-0.0107156	0.0255086	-0.178065	-0.134662	-0.00473467	-0.182577	-0.177933	-0.144642	-0.150921	-0.137192	-0.1094	-0.119841	
3.20507	0.0125557	-0.252625	0.061155	0.0342104	0.00999062	-0.358428	-0.0367271	-0.0691067	-0.011978	0.0222958	-0.181539	-0.135083	-0.00597801	-0.180503	-0.176231	-0.144645	-0.154492	-0.133636	-0.114424	-0.121144	
3.20531	0.0149271	-0.254862	0.0632924	0.0361074	0.0102377	-0.35458	-0.0365021	-0.0667994	-0.0111729	0.0239142	-0.182978	-0.134545	-0.00786395	-0.177276	-0.17157	-0.143195	-0.156056	-0.129889	-0.118655	-0.125199	
3.20555	0.0168154	-0.253596	0.0636612	0.0367472	0.00701442	-0.351007	-0.035255	-0.0623873	-0.0110137	0.0283145	-0.181517	-0.133504	-0.00900336	-0.173104	-0.165451	-0.140063	-0.155105	-0.128641	-0.1215	-0.129253	
3.2058	0.0196763	-0.249197	0.0624453	0.0371313	0.00119388	-0.348074	-0.033815	-0.0565108	-0.013651	0.0319307	-0.177561	-0.13266	-0.00863932	-0.16954	-0.159835	-0.136491	-0.153892	-0.131285	-0.124134	-0.130983	
