	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
3.0382	-0.0269886	-0.0546669	-0.0174063	0.0422849	-0.0347386	0.0183192	-0.134111	-0.0761746	-0.116038	2.57392e-05	-0.0343519	-0.0298232	-0.0292321	-0.0434939	-0.0122775	-0.0388389	-0.0385896	-0.034048	-0.0428202	-0.024044	
3.03844	-0.0292495	-0.0552497	-0.0215685	0.0425501	-0.0293997	0.0249468	-0.131452	-0.0770879	-0.116935	-0.00207154	-0.0404326	-0.0275748	-0.0340682	-0.04147	-0.0124588	-0.0407722	-0.0403415	-0.0435537	-0.0433464	-0.0185923	
3.03868	-0.0320211	-0.0515268	-0.0300756	0.0484045	-0.0246603	0.0323624	-0.1285	-0.0762406	-0.116249	-0.00389058	-0.0452072	-0.0217158	-0.0392328	-0.0415028	-0.0144963	-0.0412385	-0.0434137	-0.0531084	-0.0438352	-0.0102068	
3.03893	-0.0329695	-0.0454727	-0.0396045	0.0561686	-0.0224512	0.0399751	-0.127047	-0.0756975	-0.113615	-0.00585841	-0.0461586	-0.0180522	-0.0406909	-0.0445405	-0.0165904	-0.0386501	-0.0488891	-0.0622091	-0.0423983	0.00200685	
3.03917	-0.0299415	-0.0394888	-0.0466575	0.0615747	-0.0221873	0.0471963	-0.126217	-0.0779132	-0.108182	-0.0072389	-0.0428992	-0.0185894	-0.0367709	-0.0502446	-0.0154939	-0.0333458	-0.0557453	-0.0681444	-0.0399795	0.0159694	
3.03941	-0.0240118	-0.0330627	-0.0487249	0.0624914	-0.021959	0.053222	-0.124341	-0.0821397	-0.100901	-0.00657449	-0.0388339	-0.0219953	-0.0304574	-0.057722	-0.0107602	-0.0259976	-0.0597766	-0.0684634	-0.0373035	0.0276086	
3.03966	-0.0198244	-0.0279144	-0.0451033	0.0603681	-0.0210509	0.0574994	-0.121642	-0.0857515	-0.096092	-0.00549782	-0.035966	-0.0255254	-0.0262032	-0.0656267	-0.00655385	-0.0174789	-0.0592061	-0.066305	-0.0343043	0.0343905	
3.0399	-0.0216536	-0.0269876	-0.0387671	0.057957	-0.0217549	0.05996	-0.118517	-0.0883647	-0.096441	-0.00525219	-0.0324031	-0.0247284	-0.0256208	-0.0702196	-0.00652923	-0.0098153	-0.0573859	-0.0659715	-0.0329056	0.0359373	
3.04014	-0.0280619	-0.0292554	-0.0335659	0.0564553	-0.0262729	0.0597183	-0.112971	-0.0923096	-0.0991446	-0.00513545	-0.0268531	-0.0175797	-0.0274677	-0.0699263	-0.00959709	-0.00643187	-0.0577723	-0.0662862	-0.0336745	0.0349381	
3.04039	-0.0338086	-0.0321296	-0.0301586	0.0562127	-0.0325016	0.0562745	-0.104394	-0.097431	-0.100075	-0.00554201	-0.0193218	-0.00769962	-0.0311528	-0.068758	-0.0122805	-0.00817615	-0.0613987	-0.0641889	-0.0345992	0.0348434	
