	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
3.9353	-0.0458365	0.00805595	-0.0339272	0.239979	-0.0828281	0.12354	-0.19323	-0.168061	-0.219997	0.170618	0.138982	0.0980707	0.211649	0.156326	0.148271	0.186494	0.0993469	0.0742852	0.0779753	0.202529	
3.93555	-0.0502315	0.0100093	-0.0284655	0.243527	-0.0919263	0.122755	-0.189043	-0.166897	-0.217244	0.164661	0.14542	0.0914173	0.215091	0.140801	0.149897	0.20568	0.110195	0.0791639	0.0773902	0.193543	
3.93579	-0.0559852	0.00940768	-0.0256133	0.244631	-0.100284	0.122024	-0.188757	-0.165452	-0.215311	0.158386	0.146247	0.0879101	0.221708	0.127477	0.152674	0.223695	0.120382	0.0859928	0.077691	0.181046	
3.93603	-0.0631706	0.00595841	-0.0257479	0.243013	-0.108259	0.120869	-0.192827	-0.16281	-0.216445	0.151126	0.14294	0.089159	0.233903	0.117604	0.157987	0.238151	0.128935	0.0935825	0.0794571	0.165938	
3.93628	-0.070352	0.00316438	-0.0294725	0.239802	-0.113887	0.117861	-0.198343	-0.159827	-0.22124	0.142792	0.13752	0.0915714	0.252201	0.109983	0.162801	0.246707	0.136096	0.100467	0.0820348	0.150885	
3.93652	-0.0763234	0.00461298	-0.0352307	0.235913	-0.115086	0.113336	-0.202429	-0.155584	-0.227105	0.135083	0.131496	0.090496	0.272515	0.104662	0.162223	0.248779	0.140485	0.104573	0.083718	0.138942	
3.93676	-0.0799101	0.0110704	-0.041561	0.231524	-0.113045	0.109091	-0.204791	-0.147046	-0.230822	0.129835	0.126393	0.0875502	0.28941	0.103153	0.153135	0.247	0.138035	0.106579	0.0838453	0.132356	
3.93701	-0.0803501	0.0195972	-0.0483198	0.228546	-0.111296	0.10524	-0.207045	-0.134965	-0.230602	0.127018	0.122683	0.0863068	0.301019	0.1052	0.13679	0.242174	0.127708	0.10803	0.0848004	0.132329	
3.93725	-0.0771144	0.0251357	-0.0546798	0.228612	-0.109513	0.101499	-0.210497	-0.124644	-0.226825	0.127439	0.119018	0.0853553	0.308532	0.108125	0.117257	0.231761	0.112366	0.108845	0.0895939	0.137447	
3.93749	-0.0697785	0.0239903	-0.0587134	0.230802	-0.105651	0.0991789	-0.215265	-0.120596	-0.220294	0.131188	0.115363	0.0820228	0.311606	0.110373	0.0970353	0.215052	0.0944814	0.10894	0.0966548	0.14388	
3.93774	-0.0615542	0.0171685	-0.0585902	0.23407	-0.102369	0.100001	-0.219891	-0.124045	-0.211648	0.13639	0.113919	0.0769608	0.311703	0.111432	0.0775755	0.196176	0.0763179	0.107015	0.103836	0.148112	
3.93798	-0.0568854	0.00985449	-0.0547668	0.238172	-0.102423	0.103812	-0.220919	-0.134132	-0.20371	0.142473	0.115671	0.0739428	0.312382	0.111337	0.0616948	0.180236	0.0613299	0.102993	0.112796	0.151591	
3.93822	-0.0564528	0.00438798	-0.0495589	0.241781	-0.103663	0.107715	-0.217175	-0.148127	-0.1993	0.150685	0.119363	0.0733163	0.313897	0.112392	0.0509666	0.166471	0.0506135	0.0985708	0.124909	0.156848	
3.93847	-0.0562789	-0.000770969	-0.0437035	0.244497	-0.103938	0.109525	-0.212709	-0.161418	-0.198621	0.159869	0.12238	0.0718333	0.312556	0.115949	0.0439417	0.151228	0.0412235	0.0955603	0.13812	0.163241	
3.93871	-0.0520882	-0.00582059	-0.0369198	0.247	-0.103276	0.109736	-0.21103	-0.169623	-0.200314	0.166853	0.123069	0.068716	0.30503	0.121487	0.0406753	0.136491	0.029948	0.0944983	0.152147	0.171391	
3.93895	-0.0444612	-0.00951316	-0.0296761	0.248765	-0.100016	0.108725	-0.211886	-0.172226	-0.201889	0.170289	0.120814	0.0654402	0.292345	0.126938	0.043049	0.125739	0.0165525	0.095101	0.167977	0.182746	
3.9392	-0.0378449	-0.0106794	-0.0241193	0.248036	-0.0930231	0.107953	-0.213387	-0.173061	-0.201815	0.17029	0.114628	0.0633356	0.278909	0.130761	0.050956	0.116607	0.00481	0.0969405	0.184424	0.195536	
3.93944	-0.0341823	-0.00865875	-0.023356	0.244269	-0.084703	0.109603	-0.214806	-0.17498	-0.200798	0.168765	0.103715	0.0634572	0.268752	0.133931	0.0603279	0.105337	-0.00190559	0.0987032	0.198601	0.204523	
3.93968	-0.0313826	-0.00534311	-0.0266154	0.238159	-0.077796	0.113465	-0.216569	-0.174718	-0.199649	0.169078	0.090611	0.0657741	0.262759	0.138097	0.0667184	0.0921679	-0.0036896	0.100787	0.210103	0.207937	
3.93993	-0.0282127	-0.00385409	-0.0295642	0.230003	-0.0715658	0.116072	-0.218202	-0.169138	-0.199365	0.171965	0.0813949	0.0693725	0.260403	0.145092	0.0716281	0.0789811	-0.00133766	0.103939	0.221411	0.209902	
3.94017	-0.0264356	-0.00339354	-0.0308984	0.222012	-0.0651181	0.115762	-0.218467	-0.161569	-0.201532	0.174649	0.0787792	0.0739459	0.260597	0.156855	0.0786082	0.0674585	0.00462839	0.107404	0.23147	0.213231	
3.94041	-0.0263379	-0.00191174	-0.0318721	0.217886	-0.0605845	0.114334	-0.215596	-0.156011	-0.208327	0.174139	0.0799645	0.0798844	0.259472	0.173312	0.0888916	0.0592083	0.0120455	0.110146	0.236878	0.216006	
3.94065	-0.0277361	-0.000509955	-0.0328503	0.219742	-0.0583407	0.113494	-0.209447	-0.15314	-0.218362	0.172195	0.0808828	0.0873344	0.252892	0.192675	0.103198	0.0549123	0.017887	0.112139	0.235553	0.216181	
3.9409	-0.0318575	-6.83027e-05	-0.0338484	0.226898	-0.0562523	0.113885	-0.20326	-0.153405	-0.224704	0.171719	0.0794352	0.0949664	0.240249	0.212873	0.12187	0.0539243	0.0201006	0.112706	0.227248	0.215358	
3.94114	-0.0365797	-6.01805e-05	-0.0342634	0.236739	-0.0539951	0.115423	-0.200015	-0.156637	-0.223452	0.172854	0.0765115	0.101642	0.222472	0.230383	0.143544	0.0521555	0.0189447	0.110242	0.215357	0.214874	
3.94138	-0.0367798	-0.00103114	-0.0327256	0.247793	-0.0529108	0.118328	-0.199956	-0.16079	-0.217857	0.175214	0.0745071	0.105732	0.201832	0.242721	0.16367	0.0462276	0.0163058	0.103586	0.20395	0.214743	
3.94163	-0.0311426	-0.00456744	-0.0300469	0.258728	-0.0552412	0.122837	-0.203627	-0.162524	-0.213978	0.176817	0.0760011	0.106234	0.181229	0.250343	0.177235	0.0398886	0.0147701	0.0923028	0.192841	0.214652	
3.94187	-0.0232062	-0.010781	-0.0285518	0.267351	-0.0615857	0.128659	-0.209978	-0.160248	-0.214568	0.174968	0.0807865	0.104589	0.163349	0.253077	0.184149	0.037807	0.0167378	0.0786749	0.181056	0.21365	
3.94211	-0.0175388	-0.0173261	-0.0294078	0.272253	-0.0697836	0.134112	-0.216616	-0.155891	-0.216981	0.16955	0.0862188	0.101369	0.14949	0.248923	0.187947	0.039884	0.0206179	0.0652329	0.170378	0.213107	
