	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
3.04452	-0.0446826	-0.0245955	0.033561	-0.0478514	-0.0549544	-0.241968	-0.0514054	-0.0990722	-0.0240089	-0.00444609	-0.0183995	-0.0164028	-0.0549548	-0.0382689	0.0123262	-0.0470011	0.0169421	-0.0460719	0.118875	-0.00219011	
3.04476	-0.05086	-0.0184719	0.0392935	-0.0420342	-0.0485092	-0.243166	-0.0578922	-0.1049	-0.0156977	-0.00836206	-0.0208072	-0.0173302	-0.0473967	-0.0390591	0.0186834	-0.048113	0.0126963	-0.047736	0.112601	-0.00504381	
3.04501	-0.0528444	-0.0122743	0.0426878	-0.0385913	-0.0456618	-0.238709	-0.0606283	-0.104152	-0.00702252	-0.0124584	-0.0206937	-0.0191348	-0.0405449	-0.035798	0.0260397	-0.0533788	0.00772825	-0.0447527	0.105414	-0.00910683	
3.04525	-0.0506263	-0.00653554	0.0427514	-0.0373045	-0.047068	-0.229467	-0.0588	-0.0990353	-0.000970881	-0.0207928	-0.0182349	-0.0220347	-0.0371247	-0.0304946	0.0322877	-0.0582098	0.00521497	-0.0390736	0.101158	-0.0147261	
3.04549	-0.0456062	-0.00116827	0.038632	-0.0379522	-0.0502784	-0.218526	-0.0547788	-0.0922547	0.000140461	-0.0333441	-0.0154059	-0.0268579	-0.0366402	-0.0277475	0.0342723	-0.0607634	0.00679573	-0.0323474	0.0973041	-0.0227185	
3.04574	-0.0404267	0.00417302	0.0302003	-0.0380604	-0.0526607	-0.211432	-0.0502991	-0.0865279	-0.000957896	-0.04544	-0.0160346	-0.0314063	-0.0366422	-0.0301208	0.0290329	-0.063091	0.0108234	-0.0275398	0.0910845	-0.0310282	
3.04598	-0.0377305	0.0093497	0.022455	-0.0344931	-0.0543966	-0.212099	-0.044885	-0.0836932	0.000908364	-0.0501636	-0.0206799	-0.0337894	-0.0350526	-0.0354115	0.0182411	-0.0672508	0.0157451	-0.0277662	0.0844627	-0.0359019	
3.04622	-0.0386492	0.0126727	0.020214	-0.027956	-0.0579173	-0.217959	-0.0378135	-0.0844496	0.00597334	-0.0462845	-0.0240639	-0.0348169	-0.0328097	-0.0398246	0.0087757	-0.0724142	0.0208909	-0.032666	0.0808261	-0.0353662	
3.04647	-0.0418156	0.0133203	0.0208123	-0.0214009	-0.0654363	-0.223561	-0.0303274	-0.0892811	0.0122654	-0.0399304	-0.0217332	-0.0352581	-0.0310017	-0.0420097	0.00657443	-0.076143	0.0265413	-0.0386919	0.0816959	-0.0313709	
3.04671	-0.0446399	0.0127128	0.019357	-0.0154837	-0.0762177	-0.225777	-0.0246049	-0.0966497	0.0181202	-0.0347557	-0.0149938	-0.0350197	-0.0309655	-0.0433349	0.0116887	-0.079322	0.0322432	-0.0427132	0.0848102	-0.0268771	
