	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
5.22957	-0.0686865	-0.061036	-0.0765132	-0.0672391	-0.0785252	-0.104565	-0.0885636	-0.0675828	-0.0517438	-0.0961295	-0.0805293	-0.0730152	-0.0801994	-0.0604929	-0.070378	-0.0624446	-0.0674976	-0.0545716	-0.0671654	-0.0409583	
5.22981	-0.070379	-0.060556	-0.0764475	-0.0660448	-0.0783765	-0.10388	-0.0887267	-0.0691854	-0.0511145	-0.0955985	-0.0804601	-0.0738181	-0.0801206	-0.0617443	-0.0720884	-0.0630442	-0.0673552	-0.0553901	-0.0685381	-0.0397047	
5.23006	-0.0717117	-0.0598915	-0.0758505	-0.0651447	-0.0790262	-0.10435	-0.0886087	-0.0711149	-0.050772	-0.0950996	-0.0805293	-0.0743932	-0.0804964	-0.062256	-0.0740027	-0.0634978	-0.0674577	-0.0550961	-0.0702174	-0.0384679	
5.2303	-0.0721039	-0.0599022	-0.0750953	-0.0649429	-0.080536	-0.10554	-0.0888451	-0.072993	-0.050517	-0.0952394	-0.0809019	-0.0745125	-0.0807255	-0.0623587	-0.075629	-0.06406	-0.0675618	-0.0541969	-0.0716697	-0.0375205	
5.23054	-0.0717665	-0.0604116	-0.0743716	-0.0652758	-0.082342	-0.106817	-0.0895973	-0.0741249	-0.0498732	-0.09559	-0.0813514	-0.0743023	-0.0805195	-0.0624491	-0.0766649	-0.0650213	-0.067213	-0.052908	-0.0726369	-0.0372977	
5.23078	-0.0713811	-0.0604732	-0.0741016	-0.0655386	-0.0838326	-0.107944	-0.0903411	-0.0740399	-0.0488354	-0.0956421	-0.0815698	-0.0742016	-0.0804269	-0.0626325	-0.0770099	-0.0662763	-0.0664045	-0.0510277	-0.0732957	-0.0379997	
5.23103	-0.0714051	-0.0595224	-0.074693	-0.065432	-0.0850679	-0.108685	-0.0902541	-0.0727021	-0.0480917	-0.0954998	-0.0818124	-0.0748305	-0.0808716	-0.0632617	-0.0772563	-0.0674322	-0.0658271	-0.0487195	-0.073673	-0.0390617	
5.23127	-0.071421	-0.0578355	-0.0756786	-0.0653432	-0.086251	-0.108573	-0.0888659	-0.0707697	-0.0482993	-0.0952512	-0.0823079	-0.0762312	-0.0814211	-0.0644788	-0.0781702	-0.0682403	-0.065767	-0.0467216	-0.0737608	-0.0397657	
5.23151	-0.0709953	-0.0559988	-0.0764437	-0.0654319	-0.0871605	-0.107507	-0.086461	-0.068991	-0.049625	-0.0945667	-0.0829326	-0.0776275	-0.0814874	-0.065469	-0.0795185	-0.0688717	-0.0659709	-0.045849	-0.0733735	-0.0397623	
5.23176	-0.0704294	-0.0542855	-0.0770596	-0.0653268	-0.0873034	-0.105964	-0.0837811	-0.0675122	-0.051244	-0.0933385	-0.0835468	-0.0783861	-0.0810167	-0.065438	-0.0803202	-0.0695557	-0.0661173	-0.0460686	-0.072275	-0.0390102	
