	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
3.55333	0.0387795	0.0617331	0.0561933	0.050433	0.0509088	0.0307158	0.0237987	0.0243073	0.0282824	0.0398807	0.0317565	0.0194796	0.0335203	0.0263548	0.0265198	0.0333328	0.0227579	0.0471105	0.0293486	0.0155127	
3.55357	0.0399268	0.0610231	0.0547139	0.0497594	0.0523754	0.0310606	0.0219507	0.0258505	0.0291577	0.0402149	0.0309336	0.0196194	0.0319142	0.0260863	0.0274704	0.0317794	0.022255	0.0495114	0.0274454	0.0187143	
3.55382	0.0410706	0.060065	0.0529346	0.0491838	0.0535429	0.031567	0.0203032	0.0270998	0.0296842	0.039259	0.030007	0.0196563	0.0302523	0.0263488	0.0292245	0.0302216	0.0224914	0.0523117	0.0260361	0.0214119	
3.55406	0.0419952	0.0585196	0.0515363	0.0488942	0.0537306	0.0322777	0.0191819	0.027877	0.0295158	0.03728	0.0289647	0.0196014	0.0282103	0.0267985	0.0308403	0.0288635	0.0234209	0.0559059	0.0255878	0.0230146	
3.5543	0.0422603	0.0564457	0.0508061	0.0488908	0.0525607	0.0335894	0.0188817	0.0278589	0.0289802	0.0349282	0.027902	0.0197007	0.0255905	0.0273009	0.0320977	0.0278722	0.0245814	0.0599071	0.0260838	0.0238616	
3.55455	0.0417506	0.0544229	0.0509042	0.0490522	0.0504122	0.0355074	0.0196194	0.0273513	0.0284543	0.0329211	0.0269028	0.01988	0.0231147	0.0280541	0.0334826	0.0280038	0.0257916	0.0637726	0.0270889	0.0245739	
3.55479	0.0406989	0.053361	0.0515505	0.0495315	0.0482827	0.0373755	0.021454	0.0269444	0.028108	0.0318908	0.0260437	0.0199858	0.0217173	0.0287482	0.0351402	0.0296088	0.02716	0.0667521	0.0284912	0.0254328	
3.55503	0.0397161	0.0535686	0.0522173	0.0503603	0.0470871	0.0385109	0.0240628	0.0266054	0.0281206	0.0317107	0.025463	0.0204662	0.0214126	0.0292387	0.0366916	0.0318447	0.0283862	0.0679036	0.0300792	0.0260824	
3.55528	0.0392546	0.054345	0.052978	0.0511182	0.0473153	0.0384221	0.0270662	0.0263799	0.0284119	0.0316506	0.0253299	0.0214032	0.0215143	0.0297877	0.0377187	0.0332933	0.0290091	0.0672489	0.03122	0.0262018	
3.55552	0.0391035	0.0547825	0.0538963	0.0516285	0.0491711	0.037209	0.0300334	0.0265004	0.0287111	0.0317015	0.0255277	0.022431	0.0217452	0.0301272	0.0379469	0.0333513	0.0294202	0.0658427	0.0320472	0.0261595	
3.55576	0.038914	0.0547629	0.0545715	0.052075	0.0521158	0.0356445	0.0320901	0.0269707	0.028897	0.0319568	0.0256814	0.0236084	0.0224756	0.0300123	0.0373916	0.0326541	0.0301183	0.0644328	0.0333879	0.0261889	
3.55601	0.0383853	0.0548826	0.0544759	0.0525123	0.0547678	0.0342319	0.0325388	0.0274696	0.0292115	0.032176	0.0258766	0.0253057	0.0236094	0.029493	0.036245	0.0320762	0.0310197	0.0631511	0.0351635	0.0257299	
3.55625	0.0373216	0.05561	0.0534977	0.0530259	0.0562487	0.0327399	0.0319199	0.0278926	0.0298297	0.0328114	0.0264746	0.0276256	0.0246212	0.0287235	0.034902	0.0318339	0.0320671	0.0617296	0.0367042	0.0242933	
3.55649	0.0357737	0.0568189	0.0520491	0.0537104	0.0562208	0.030839	0.0310716	0.0283191	0.0305555	0.0342913	0.0272652	0.0300285	0.0256141	0.0279853	0.0338153	0.0317128	0.0328435	0.059503	0.0378223	0.022271	
3.55674	0.0341029	0.0577945	0.0507693	0.054455	0.0545331	0.0285354	0.0303374	0.028765	0.0311466	0.0361656	0.0278518	0.0318773	0.02669	0.0274383	0.0331002	0.031787	0.0327345	0.0558156	0.0384062	0.0206273	
3.55698	0.032787	0.0574586	0.0501046	0.0552729	0.0516487	0.0263444	0.0299964	0.0294443	0.0314049	0.0377071	0.028036	0.032763	0.02766	0.0274544	0.0329454	0.0323443	0.0318923	0.051051	0.0381284	0.02014	
3.55722	0.0319449	0.0557393	0.0500418	0.0562321	0.0483522	0.0247767	0.030191	0.0303115	0.0311537	0.0385631	0.0276317	0.0327828	0.0287356	0.0283941	0.0340436	0.0333345	0.0309873	0.0464275	0.0369663	0.0207324	
3.55747	0.0312387	0.0536998	0.0504654	0.0569203	0.0455846	0.0238802	0.0304675	0.0310863	0.0302716	0.0388548	0.0271859	0.0327408	0.0299041	0.0301212	0.0361829	0.0344207	0.0306285	0.0424664	0.0354337	0.0219655	
3.55771	0.0304504	0.0522717	0.0512118	0.0564722	0.0437696	0.0232973	0.0304046	0.0315557	0.0289726	0.0390302	0.027663	0.0326013	0.0306877	0.0318839	0.0377622	0.035674	0.0308891	0.038798	0.0342882	0.0233226	
3.55795	0.0297166	0.0517255	0.0520484	0.0546853	0.0428025	0.0228207	0.029857	0.0311971	0.0275307	0.0397267	0.0285985	0.0315926	0.0304482	0.0327236	0.0376157	0.0377508	0.0313204	0.0351103	0.0338022	0.0242645	
3.5582	0.029252	0.0517009	0.0525316	0.0524801	0.0429277	0.0227908	0.0288353	0.0299697	0.0260661	0.0407902	0.0288145	0.0299268	0.029101	0.0322618	0.0360466	0.040545	0.0318466	0.0321496	0.0336127	0.0248199	
3.55844	0.0295011	0.0520113	0.0521943	0.0508141	0.0441433	0.0231355	0.0277651	0.0290769	0.0251678	0.0413894	0.0283182	0.0286699	0.0268982	0.0310292	0.0341509	0.0427922	0.0329592	0.03096	0.0329293	0.0255616	
3.55868	0.0306866	0.0524675	0.0513823	0.0505183	0.04581	0.0232153	0.027102	0.0293608	0.0249679	0.0412735	0.0276799	0.0285522	0.0241938	0.0300546	0.0328161	0.0433742	0.0347723	0.0313782	0.0315123	0.0261921	
3.55893	0.0321717	0.0525487	0.0509959	0.0519044	0.0473961	0.0228571	0.0269219	0.0301638	0.0246668	0.0410801	0.0268737	0.0294352	0.0222286	0.0298946	0.0322767	0.041747	0.0360833	0.0322284	0.0301468	0.0258417	
3.55917	0.0333587	0.0519235	0.0514459	0.0543705	0.048696	0.0225896	0.0269537	0.0302868	0.0239204	0.041575	0.0261568	0.0307377	0.021647	0.0303575	0.0323055	0.038238	0.0358396	0.0328202	0.0296584	0.024811	
3.55941	0.0344645	0.0506234	0.0525934	0.0568335	0.0495178	0.0228994	0.0270242	0.0292222	0.0228502	0.0423909	0.0262804	0.0319926	0.0219206	0.0311939	0.0327107	0.0346731	0.0345945	0.0332873	0.0303255	0.0242317	
3.55966	0.0355554	0.0496424	0.053839	0.0585326	0.0497753	0.0239634	0.0272297	0.0271641	0.0217097	0.042649	0.0274581	0.0326576	0.0228907	0.0320365	0.0335313	0.0330262	0.0337908	0.0338739	0.0318863	0.024543	
3.5599	0.0362088	0.0499149	0.0545076	0.059733	0.0496693	0.0256085	0.0277955	0.0247582	0.0210113	0.0422334	0.0291503	0.0325521	0.0246113	0.0323225	0.0345214	0.0331488	0.0339464	0.0344119	0.0336647	0.0249918	
3.56014	0.0363986	0.0509393	0.0543347	0.0607254	0.0495447	0.0269993	0.0284838	0.0230513	0.0211666	0.041577	0.0306523	0.0323153	0.0265819	0.0322877	0.0350873	0.0334413	0.0342838	0.0345791	0.0347278	0.0246012	
3.56039	0.036452	0.0514704	0.0536012	0.0612429	0.0495522	0.0275161	0.0287894	0.0227624	0.0223467	0.0408362	0.0316483	0.0326804	0.0280813	0.032108	0.0350306	0.0334297	0.0342993	0.0344046	0.0347977	0.0231382	
3.56063	0.036781	0.0511689	0.0526027	0.0611873	0.049722	0.0273564	0.0288171	0.0241987	0.024533	0.0396593	0.0319463	0.0334467	0.0288269	0.0312811	0.0344862	0.0336924	0.034157	0.0340015	0.0343736	0.0213573	
3.56087	0.037591	0.050833	0.0519725	0.0603822	0.0503022	0.0270523	0.0286859	0.0267624	0.0272364	0.0378915	0.0315214	0.0337893	0.0289592	0.030068	0.0332573	0.0345565	0.0342432	0.0333327	0.0340328	0.0198924	
3.56112	0.0387492	0.0514486	0.0523643	0.058702	0.0514268	0.0271011	0.0279879	0.0291874	0.0297725	0.0360827	0.0302944	0.0335101	0.028557	0.0292887	0.0316139	0.0358407	0.0347111	0.0323658	0.0339765	0.0186698	
3.56136	0.0399668	0.0531746	0.0534492	0.0562867	0.0526989	0.0276933	0.0265676	0.0306804	0.0314209	0.0351091	0.0286167	0.0331021	0.0274949	0.0291742	0.030604	0.0370471	0.0352735	0.0315988	0.0341907	0.0172851	
3.5616	0.0410714	0.0551402	0.0544819	0.0534503	0.0532688	0.0286702	0.025173	0.0308963	0.0315125	0.0350189	0.027746	0.033232	0.0258968	0.0296737	0.0310332	0.0379392	0.0358787	0.0312845	0.0345045	0.0157365	
3.56184	0.0420092	0.0561745	0.0549387	0.0512448	0.0528075	0.0299662	0.0248012	0.0299681	0.0302507	0.0350039	0.028023	0.0338115	0.0244443	0.0308221	0.0322343	0.0384521	0.0366763	0.0311539	0.0346579	0.01493	
3.56209	0.0424788	0.0560831	0.0547576	0.0506968	0.051776	0.0315365	0.0255767	0.0287517	0.0286321	0.0345439	0.0285477	0.0339558	0.0238208	0.0326777	0.0327062	0.0386267	0.0372442	0.0311207	0.0345092	0.0155612	
3.56233	0.0421602	0.0555144	0.0543314	0.0515109	0.0502589	0.03293	0.0266471	0.0278147	0.0274539	0.0336074	0.0284096	0.0333995	0.0239139	0.0349626	0.0317216	0.038637	0.0369563	0.0310658	0.034084	0.0168545	
3.56257	0.0412126	0.0550063	0.0540562	0.0525687	0.0480228	0.0337121	0.0270198	0.0272778	0.0268561	0.032039	0.0278074	0.0326435	0.0241998	0.0369252	0.0297849	0.0384145	0.0358479	0.0312623	0.0335658	0.0175814	
3.56282	0.0402615	0.0549329	0.0538252	0.053457	0.0454495	0.0336893	0.0264505	0.0274988	0.0265045	0.0300764	0.0273121	0.0317607	0.0248821	0.0382281	0.0279277	0.0376883	0.0342084	0.0317784	0.0331562	0.018143	
3.56306	0.0398941	0.0549818	0.0535405	0.0544129	0.0432718	0.0330173	0.0258368	0.0287929	0.0262221	0.028832	0.0269931	0.0305002	0.0260184	0.0388442	0.0268801	0.0364663	0.0322414	0.032461	0.0330174	0.0194139	
3.5633	0.0404578	0.0544615	0.0536116	0.0552551	0.0419937	0.0322214	0.0260466	0.0307829	0.0261494	0.0288304	0.0272705	0.0292409	0.0270866	0.038505	0.0269007	0.0346318	0.030636	0.0335955	0.0336603	0.0213075	
