	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
4.09609	0.00407903	0.114258	-0.00525649	0.0458734	0.0116982	-0.00117052	0.0245603	0.00532065	0.0357684	-0.0311514	0.0714108	-0.0324806	0.0492314	0.0681306	0.0254033	0.0368568	-0.00461787	0.017337	0.00534845	-0.00794746	
4.09633	-0.00325204	0.107383	-0.00765143	0.0429049	0.0150546	-0.0063519	0.0254771	0.00858944	0.0319405	-0.0253998	0.0746714	-0.0268815	0.042067	0.0726825	0.0287839	0.0415378	-0.000383879	0.012789	0.00549477	-0.0016685	
4.09658	-0.0111494	0.102345	-0.00905866	0.0414388	0.0167502	-0.0102469	0.0281006	0.0130723	0.0280529	-0.0211383	0.079982	-0.0206304	0.0340065	0.0756411	0.0309535	0.0493857	-0.00224627	0.012415	0.00317673	0.00191823	
4.09682	-0.0159567	0.102116	-0.00765467	0.0412718	0.0159038	-0.012579	0.0310818	0.0165752	0.026673	-0.0188092	0.0839157	-0.016796	0.0279248	0.0763681	0.0304725	0.0563999	-0.00856605	0.0160807	0.00100293	0.00252668	
4.09706	-0.0158715	0.107237	-0.00461657	0.0423043	0.0143142	-0.0133379	0.0334236	0.0176144	0.0285694	-0.0188205	0.083669	-0.017283	0.0248812	0.0763783	0.0277285	0.0605273	-0.0140656	0.0229333	0.00201431	0.000722368	
4.09731	-0.0129077	0.115261	-0.0031274	0.0453359	0.0143349	-0.0130987	0.0354901	0.0169848	0.0316919	-0.0208681	0.0791682	-0.0211276	0.0228026	0.0761051	0.02471	0.0619032	-0.0153812	0.0300851	0.00555844	-0.00249119	
4.09755	-0.00877264	0.123084	-0.00418527	0.0491498	0.0159038	-0.0126108	0.0374648	0.0161141	0.034599	-0.024032	0.0738775	-0.0261688	0.0199501	0.0750814	0.0239789	0.0613865	-0.0132608	0.0338974	0.00746376	-0.00645286	
4.09779	-0.00364411	0.130071	-0.0060557	0.051887	0.0163447	-0.0114307	0.0392882	0.0166391	0.0377731	-0.0278239	0.0704304	-0.0310206	0.0173577	0.0741081	0.0247217	0.0605341	-0.00822018	0.0331603	0.00565497	-0.0116849	
4.09804	0.00210988	0.136783	-0.0074757	0.0534634	0.014601	-0.00812221	0.0422485	0.0186974	0.0418785	-0.0321498	0.0672613	-0.0354209	0.0160359	0.0742981	0.0232546	0.059758	-0.00179541	0.0298725	0.00244179	-0.0168274	
4.09828	0.00708881	0.141757	-0.00896401	0.0542262	0.0124828	-0.00324988	0.0467614	0.0199142	0.0463269	-0.037024	0.063062	-0.0383089	0.0163006	0.0750519	0.0191163	0.0587775	0.00216798	0.0270136	0.000915581	-0.019095	
4.09852	0.0103578	0.141955	-0.0109447	0.0541571	0.00995549	0.000992243	0.0507374	0.0195292	0.0498086	-0.0414758	0.0594831	-0.0402397	0.0169387	0.0737667	0.0163818	0.0583172	0.00224881	0.0257377	0.00115153	-0.0193059	
4.09877	0.0137765	0.136824	-0.0118906	0.0533409	0.00700146	0.00336253	0.0528044	0.0186799	0.051241	-0.0451968	0.0579055	-0.0430224	0.0173134	0.0701488	0.0172071	0.0580564	5.95912e-05	0.0258146	0.00163488	-0.0203377	
4.09901	0.0201964	0.128563	-0.0101032	0.0526703	0.00592079	0.00466719	0.0539227	0.0174284	0.0511494	-0.0476172	0.0596277	-0.0464858	0.01832	0.0665577	0.0196435	0.0565504	-0.00245414	0.0270243	0.00280794	-0.021814	
4.09925	0.0291013	0.119892	-0.00510671	0.0540052	0.00682039	0.00554466	0.0544842	0.0162736	0.0512136	-0.0469244	0.0648398	-0.0500744	0.0201719	0.0639681	0.022425	0.0537781	-0.00418083	0.0281189	0.0047349	-0.022851	
4.0995	0.0377299	0.113109	0.00278573	0.0574973	0.0070565	0.00495414	0.0537644	0.0170812	0.0514541	-0.0436589	0.0715769	-0.0527511	0.0227781	0.0621327	0.0264016	0.0502324	-0.00385462	0.0276623	0.00512045	-0.0231196	
4.09974	0.0447541	0.10993	0.0111706	0.0618974	0.00537225	0.00224324	0.0517497	0.0204651	0.0503895	-0.0407539	0.0773563	-0.0523454	0.0251049	0.0618031	0.0322954	0.0454354	-0.00223965	0.0258409	0.00311109	-0.0219661	
4.09998	0.0507251	0.110207	0.017638	0.0668839	0.00401463	-0.00215303	0.0501699	0.0247469	0.0487731	-0.0385798	0.0807475	-0.0486892	0.0259562	0.0640918	0.0398322	0.0393781	-0.00204467	0.024015	0.00104234	-0.0200148	
4.10023	0.0558948	0.112112	0.0225039	0.0719261	0.00503886	-0.00700041	0.0510281	0.0262084	0.0483973	-0.0353978	0.0812313	-0.0448335	0.0260586	0.0680924	0.0472719	0.0340662	-0.00342022	0.0234884	0.000988597	-0.0181232	
4.10047	0.0595154	0.113028	0.0269656	0.0766448	0.00703802	-0.0108016	0.0544655	0.0229275	0.0481082	-0.0310858	0.0795512	-0.044272	0.0262862	0.0715484	0.0524086	0.031468	-0.00501671	0.0240838	0.00249539	-0.0171437	
4.10071	0.0618276	0.110984	0.0303342	0.0811621	0.00778556	-0.0125171	0.0582811	0.0171824	0.046426	-0.0276217	0.0764514	-0.0470567	0.0262759	0.0733111	0.0543364	0.0306592	-0.00661836	0.0239731	0.00475763	-0.0169785	
4.10096	0.0638188	0.106725	0.0321548	0.0843087	0.0073658	-0.011891	0.0601577	0.0122713	0.0448327	-0.0273003	0.073776	-0.0501614	0.0257499	0.0744125	0.0534151	0.0294063	-0.00810856	0.0218674	0.00697198	-0.0172122	
4.1012	0.0648387	0.102929	0.034331	0.0847257	0.00784253	-0.00950871	0.0614804	0.00981059	0.0436912	-0.03048	0.0731574	-0.0515802	0.0254899	0.0747108	0.0501301	0.027569	-0.00827026	0.0177731	0.00794868	-0.0185688	
4.10144	0.0636956	0.101173	0.0372367	0.0828484	0.0092747	-0.00631822	0.0656272	0.00880443	0.0419979	-0.0363245	0.0732442	-0.0515944	0.0265169	0.0730667	0.045209	0.0266995	-0.0057617	0.0123512	0.00763269	-0.0198799	
4.10169	0.0601626	0.10184	0.0385399	0.0806704	0.0094188	-0.00287533	0.0720054	0.00825655	0.0394052	-0.044114	0.0722241	-0.050392	0.0269152	0.0697438	0.0407679	0.0268979	-0.000411769	0.00688426	0.00538373	-0.0178341	
4.10193	0.0544369	0.104897	0.0375819	0.0793771	0.00766908	-0.000187336	0.07674	0.0094252	0.036193	-0.0524063	0.0691023	-0.0486086	0.02348	0.0664275	0.0385311	0.0258986	0.00584203	0.00248833	0.000851772	-0.0132163	
