	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
1.31963	0.174447	0.106947	0.143577	0.192244	0.134231	3.74576	1.05864	0.240291	0.214308	0.392951	2.32029	6.07618	3.7995	0.729336	0.208574	0.158058	0.0223357	-0.00714865	-0.00983667	0.0321031	
1.31988	0.172537	0.112554	0.150258	0.217322	0.135739	3.90796	1.13386	0.252561	0.2009	0.377213	2.04803	5.38514	3.62778	0.789892	0.201086	0.168097	0.0258777	-0.0079764	-0.00660756	0.0364474	
1.32012	0.168297	0.11835	0.156129	0.244699	0.138494	3.84139	1.17709	0.256635	0.190946	0.362349	1.8217	4.82967	3.51565	0.858416	0.19435	0.1771	0.0324016	-0.010543	-0.00423392	0.0377042	
1.32036	0.162774	0.12378	0.158573	0.270885	0.139917	3.5694	1.18297	0.251669	0.182896	0.351146	1.63308	4.38748	3.4438	0.937785	0.191886	0.183477	0.0404041	-0.0125539	-0.00188648	0.0338392	
1.32061	0.158649	0.12931	0.155275	0.2894	0.136961	3.17103	1.15392	0.240007	0.175777	0.343354	1.47504	4.04131	3.40009	1.03067	0.193736	0.185626	0.0489849	-0.0134127	0.00204312	0.0266199	
1.32085	0.158928	0.134817	0.147745	0.294	0.129126	2.73301	1.09832	0.225461	0.170204	0.337217	1.34157	3.77836	3.37953	1.13782	0.196889	0.182109	0.0590342	-0.0129965	0.00647261	0.0194344	
1.32109	0.16408	0.13996	0.139276	0.284636	0.118741	2.31214	1.02597	0.211087	0.1654	0.33166	1.22687	3.58668	3.38225	1.25769	0.199136	0.172176	0.071233	-0.0112501	0.0106177	0.0143051	
1.32134	0.171365	0.142946	0.133158	0.266933	0.107743	1.93531	0.945368	0.198368	0.159565	0.326689	1.12644	3.45513	3.41509	1.3873	0.201636	0.15782	0.0830382	-0.00835119	0.0138057	0.0116678	
1.32158	0.178663	0.141642	0.1301	0.247048	0.0969209	1.61365	0.862725	0.189129	0.152699	0.322572	1.0389	3.37632	3.48815	1.52191	0.206561	0.143729	0.0907043	-0.00472922	0.0138962	0.0105984	
1.32182	0.185966	0.137172	0.128795	0.228319	0.0871175	1.34955	0.781685	0.184188	0.145877	0.318205	0.96346	3.34664	3.61004	1.65603	0.213004	0.13369	0.0933561	-0.000682709	0.00871789	0.0106236	
1.32207	0.192784	0.133566	0.127665	0.211347	0.0783784	1.137	0.706185	0.180483	0.139238	0.313078	0.898123	3.36324	3.78588	1.78699	0.216996	0.126938	0.092751	0.00375802	-0.000748647	0.0111773	
1.32231	0.198712	0.133769	0.126009	0.195186	0.0717364	0.965075	0.639996	0.174317	0.131997	0.308207	0.840676	3.42271	4.01606	1.91674	0.216868	0.121343	0.0904709	0.00816594	-0.00985178	0.010196	
1.32255	0.204317	0.13665	0.124958	0.179559	0.0695556	0.823282	0.583857	0.166417	0.124727	0.304191	0.788658	3.52075	4.29995	2.05185	0.216719	0.118105	0.0872282	0.0128751	-0.0147319	0.00625284	
1.3228	0.211161	0.139784	0.124651	0.166251	0.0724192	0.70434	0.5367	0.160613	0.118694	0.303603	0.740404	3.65294	4.64296	2.20188	0.219869	0.117965	0.0839201	0.0186578	-0.0145074	-0.000790247	
1.32304	0.219285	0.141209	0.123178	0.157814	0.0775926	0.605035	0.496428	0.15998	0.114657	0.309561	0.695871	3.81755	5.06103	2.37884	0.225258	0.118151	0.080846	0.0250651	-0.00996532	-0.00939746	
1.32328	0.226663	0.140539	0.119408	0.156274	0.0826856	0.523895	0.460189	0.165298	0.113737	0.321383	0.654799	4.01816	5.58323	2.59814	0.231123	0.116322	0.0774469	0.0300401	-0.00360909	-0.0156154	
1.32353	0.2325	0.140501	0.114917	0.162118	0.0859769	0.458057	0.426909	0.175807	0.115546	0.337836	0.615588	4.26406	6.25144	2.87812	0.236722	0.114155	0.0731509	0.0323062	0.00235179	-0.0165018	
1.32377	0.237659	0.142544	0.111343	0.173426	0.0849548	0.403371	0.397243	0.190506	0.118392	0.360732	0.578172	4.57375	7.12008	3.24134	0.242811	0.114018	0.068205	0.0322289	0.00785802	-0.0121633	
1.32401	0.242548	0.143904	0.108301	0.187648	0.0789561	0.356245	0.372526	0.208524	0.122616	0.392856	0.544261	4.97952	8.25782	3.71624	0.250539	0.114715	0.0650548	0.0303148	0.0127354	-0.00362773	
1.32425	0.246247	0.143089	0.106167	0.20307	0.070873	0.315182	0.354529	0.227952	0.127822	0.434699	0.514874	5.52499	9.7442	4.33794	0.259123	0.113819	0.0664985	0.0262028	0.0150804	0.00723899	
1.3245	0.248475	0.140632	0.105667	0.218175	0.0649124	0.279675	0.343373	0.246347	0.130862	0.48521	0.490307	6.25524	11.6554	5.14355	0.265477	0.111167	0.0716686	0.0200071	0.0140134	0.0173794	
1.32474	0.250629	0.137536	0.105874	0.230421	0.0634101	0.248655	0.337459	0.262342	0.131121	0.543681	0.470873	7.20999	14.0509	6.1668	0.268255	0.108999	0.0762766	0.0135288	0.0112428	0.0251864	
1.32498	0.254696	0.135457	0.105404	0.236392	0.0653513	0.221682	0.337613	0.275782	0.129658	0.606801	0.455934	8.42052	16.9789	7.43724	0.270189	0.110378	0.0770461	0.00897619	0.00856503	0.0302767	
1.32523	0.262253	0.135946	0.103066	0.235891	0.0685418	0.198742	0.344118	0.287452	0.127275	0.666029	0.443486	9.90824	20.4827	8.98196	0.273973	0.115932	0.0742405	0.00679014	0.00633093	0.0329078	
1.32547	0.27243	0.139309	0.100501	0.23168	0.0723748	0.180321	0.355348	0.299389	0.125865	0.711758	0.431616	11.6754	24.5617	10.8208	0.279555	0.122782	0.07081	0.00596557	0.00463531	0.0339408	
1.32571	0.282977	0.143078	0.100892	0.225376	0.0769453	0.166541	0.371126	0.312009	0.127952	0.738057	0.419716	13.6679	29.055	12.9312	0.286126	0.128118	0.0691011	0.00646822	0.00358979	0.0338145	
1.32596	0.293706	0.144643	0.104875	0.217739	0.0817459	0.157647	0.392053	0.323921	0.134124	0.743321	0.408291	15.7162	33.5087	15.179	0.293497	0.132669	0.0677675	0.00919164	0.00363828	0.0331942	
1.3262	0.304963	0.144637	0.109828	0.208376	0.0870969	0.153441	0.416747	0.335433	0.141927	0.730048	0.398056	17.515	37.2024	17.2755	0.303178	0.137835	0.06469	0.0136308	0.00590119	0.0336219	
1.32644	0.315425	0.144437	0.113564	0.196256	0.0925081	0.151849	0.443122	0.347638	0.148916	0.702773	0.389225	18.6964	39.3924	18.8438	0.316633	0.144015	0.0598579	0.018737	0.00954508	0.0349045	
1.32669	0.324373	0.143276	0.116914	0.181779	0.0967237	0.15009	0.470511	0.360858	0.153646	0.666551	0.381623	18.9478	39.5394	19.554	0.333418	0.151484	0.0538863	0.024172	0.0132986	0.0354736	
1.32693	0.332839	0.140363	0.121407	0.167574	0.0997558	0.146563	0.500664	0.3759	0.154716	0.626004	0.375363	18.1254	37.4604	19.2323	0.352204	0.15976	0.0475929	0.0295089	0.0182508	0.0348151	
1.32717	0.341495	0.136509	0.126388	0.156252	0.101659	0.141734	0.53657	0.392385	0.152625	0.58473	0.370471	16.3872	33.572	17.9382	0.371355	0.167749	0.0433799	0.0327878	0.0251553	0.0328296	
1.32742	0.349453	0.133622	0.12899	0.148181	0.101171	0.136546	0.580801	0.410977	0.150367	0.545766	0.367697	14.1692	28.8073	15.9692	0.390098	0.174601	0.043236	0.031958	0.031139	0.029627	
1.32766	0.355628	0.13369	0.127346	0.142772	0.0990616	0.130966	0.635887	0.436227	0.151396	0.509164	0.368667	11.9143	24.0605	13.729	0.409219	0.180505	0.046926	0.0282872	0.0342666	0.0270231	
