	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
1.92022	0.0540732	0.0227722	0.00205558	-0.0240726	-0.0130387	0.000898977	-0.0061215	-0.000959654	-0.0078672	0.0213529	-0.00987362	0.0191693	0.00715176	0.0082402	-0.00269735	0.0435496	0.076689	0.0290688	-0.0116329	-0.00233002	
1.92046	0.0504877	0.0278106	0.00711062	-0.025219	-0.00935733	0.00429507	0.00292849	-0.00445606	-0.0109038	0.0213162	-0.0116555	0.0121703	0.00740301	0.0100282	-0.0120159	0.0502712	0.0788245	0.0374581	-0.0120286	-0.00257503	
1.9207	0.0458728	0.0315677	0.0135896	-0.0283879	-0.00427814	0.00173864	0.0111184	-0.00748134	-0.0145706	0.0200799	-0.0119557	0.00807294	0.00855655	0.0120263	-0.0194232	0.0570476	0.0829183	0.0475598	-0.013262	-0.00279259	
1.92095	0.0428482	0.0319535	0.0188319	-0.0330609	0.000877456	-0.00393341	0.0160051	-0.00826922	-0.0187074	0.01852	-0.0101259	0.00709611	0.00863831	0.0129306	-0.0226897	0.0630124	0.0895544	0.0568322	-0.0139926	-0.00356778	
1.92119	0.0410137	0.0296685	0.0218911	-0.0367805	0.0030453	-0.00825824	0.0168955	-0.00670192	-0.0214544	0.0166577	-0.00666092	0.00809423	0.00892326	0.0117049	-0.0212304	0.0687175	0.0983402	0.0624156	-0.011764	-0.00530198	
1.92143	0.0391416	0.0259165	0.022274	-0.0382365	-0.000464763	-0.0082156	0.0136879	-0.00428416	-0.0223401	0.0144412	-0.00262672	0.0103534	0.00978624	0.00996031	-0.0168011	0.0747348	0.108094	0.066704	-0.00553437	-0.00834529	
1.92168	0.0367163	0.0210338	0.0194208	-0.0371762	-0.0086112	-0.00386113	0.00663461	-0.00163332	-0.0229593	0.0117567	0.000540493	0.0118999	0.0102657	0.0104663	-0.0116851	0.0816208	0.118984	0.0742589	0.00360231	-0.0120411	
1.92192	0.0331338	0.0148313	0.0151851	-0.0330437	-0.0170468	0.00161265	-0.00171261	0.00115516	-0.0247864	0.008845	0.00161637	0.0108077	0.0122814	0.0125006	-0.0079248	0.0888012	0.131184	0.0844947	0.0144078	-0.0139882	
1.92216	0.0278037	0.00764016	0.0118419	-0.0272296	-0.0226302	0.00622377	-0.00850801	0.0033977	-0.0285456	0.00624912	0.000450958	0.00806623	0.0180063	0.0128853	-0.00477784	0.0944206	0.14338	0.0939847	0.0256358	-0.0129833	
1.92241	0.0221377	0.000884607	0.00965694	-0.0228339	-0.0252276	0.011088	-0.0128158	0.00497999	-0.0334138	0.00332455	-0.000823451	0.00751925	0.0260431	0.0109768	-7.69349e-05	0.0988251	0.154126	0.102694	0.0368791	-0.0107858	
1.92265	0.018323	-0.00414541	0.00770522	-0.0219718	-0.0258002	0.016822	-0.0152849	0.00612576	-0.0373692	-0.000508134	0.000237339	0.0117377	0.0329851	0.00891849	0.00632	0.10429	0.162817	0.113171	0.0467085	-0.0108671	
1.92289	0.017564	-0.00713497	0.00499475	-0.0239805	-0.0258065	0.0225835	-0.0175685	0.00692074	-0.0393992	-0.00417191	0.00376168	0.0181809	0.0371237	0.00856812	0.0130499	0.112215	0.169217	0.125975	0.0520042	-0.0142669	
1.92314	0.0205801	-0.00791454	0.00174158	-0.0265955	-0.0258348	0.0278736	-0.0202509	0.00704306	-0.0402012	-0.00553595	0.00814384	0.0235195	0.0384759	0.0104428	0.0181146	0.122461	0.174385	0.138998	0.0534172	-0.0180945	
1.92338	0.0265525	-0.00689893	-0.00128886	-0.0288049	-0.0247876	0.0320866	-0.0227695	0.00631941	-0.0403594	-0.00419225	0.0116298	0.027041	0.0370941	0.0143565	0.0208812	0.133058	0.180391	0.150629	0.0541188	-0.0199106	
1.92362	0.0331941	-0.00538197	-0.00432797	-0.03079	-0.0215682	0.0339227	-0.0242397	0.00694894	-0.039628	-0.00108738	0.0137589	0.0296455	0.0338645	0.0181464	0.0228283	0.142028	0.188646	0.159941	0.0550339	-0.0193436	
1.92387	0.0383704	-0.0030207	-0.00816654	-0.0322439	-0.0170709	0.0341816	-0.0227134	0.0114197	-0.0371127	0.00222699	0.015054	0.033353	0.0302925	0.0175012	0.0255554	0.150071	0.19769	0.16593	0.0558995	-0.0172891	
1.92411	0.0415908	0.00106016	-0.0119374	-0.0326486	-0.0131762	0.0350005	-0.0172592	0.0188152	-0.0320051	0.00400936	0.0157252	0.0380235	0.0276535	0.011426	0.0288951	0.157806	0.206409	0.16796	0.0573763	-0.0145101	
1.92435	0.0438557	0.00568961	-0.0133402	-0.0307001	-0.0111873	0.0357823	-0.0103546	0.0262223	-0.0242787	0.00366698	0.0149517	0.0430543	0.0268481	0.00306846	0.0306822	0.164449	0.217	0.167094	0.0593251	-0.0118303	
1.9246	0.0475934	0.00803955	-0.0117096	-0.025924	-0.0119394	0.0346441	-0.00520269	0.0320352	-0.0145259	0.00139034	0.010991	0.0486025	0.028023	-0.00496218	0.0298466	0.168171	0.229135	0.164438	0.0595543	-0.00949956	
1.92484	0.0537522	0.00781822	-0.00845772	-0.020867	-0.0143098	0.0311012	-0.00304798	0.0370613	-0.00327006	-0.00167788	0.00368484	0.0529213	0.0314827	-0.0111991	0.0279754	0.166558	0.238456	0.158693	0.0574754	-0.00820237	
1.92508	0.0600879	0.00672711	-0.00520554	-0.0180304	-0.0150418	0.02592	-0.00341571	0.0415137	0.00851891	-0.003023	-0.00341066	0.0548602	0.0367761	-0.0143501	0.0264232	0.15851	0.241015	0.148907	0.0537785	-0.00937572	
1.92533	0.06491	0.00538743	-0.00371323	-0.0169753	-0.0123619	0.0208665	-0.00480126	0.043134	0.0186453	-0.0015784	-0.00718484	0.0549349	0.0415505	-0.0140243	0.0251157	0.145214	0.236151	0.137341	0.0485214	-0.0122037	
1.92557	0.0676436	0.00386603	-0.00452276	-0.0159805	-0.00884353	0.0172477	-0.0054907	0.0405011	0.0249023	-3.14577e-05	-0.00814788	0.0525874	0.0433035	-0.0119211	0.0227973	0.129545	0.225904	0.127059	0.0426456	-0.0146457	
1.92581	0.0688176	0.00215207	-0.00660349	-0.0131091	-0.00765431	0.0156941	-0.00602559	0.0344741	0.0262589	-0.00188902	-0.00708937	0.0463906	0.0420391	-0.00939763	0.0185307	0.114248	0.213854	0.118717	0.037781	-0.0155691	
1.92606	0.0699775	9.50842e-05	-0.00831743	-0.00705524	-0.00824755	0.0157752	-0.0079261	0.0272677	0.0236484	-0.00760489	-0.00464264	0.0370086	0.0398945	-0.00724778	0.0136295	0.100568	0.203032	0.110376	0.0349194	-0.0135216	
1.9263	0.0720741	-0.00243217	-0.00882683	0.00176408	-0.00876823	0.0162086	-0.0109738	0.0215196	0.0187349	-0.0147214	-0.00284592	0.0278088	0.0380044	-0.00617253	0.0101521	0.0876325	0.193149	0.100561	0.0338195	-0.00787253	
1.92654	0.0746797	-0.00410415	-0.00817868	0.0107313	-0.0085372	0.0168955	-0.0137405	0.0179141	0.0123363	-0.0206128	-0.00171921	0.0211017	0.0351221	-0.00520823	0.00835607	0.0753935	0.183024	0.0906873	0.0335247	-0.000638281	
1.92679	0.0779982	-0.00298769	-0.00607817	0.0156669	-0.00764873	0.0184715	-0.0148442	0.015505	0.0054547	-0.0236478	0.000455715	0.0171303	0.0293962	-0.00281832	0.00728227	0.0648232	0.172313	0.0826995	0.0330306	0.00627695	
1.92703	0.0823812	0.00053887	-0.00206698	0.0151504	-0.0065433	0.0197669	-0.0141669	0.013546	-0.000213632	-0.023117	0.00340186	0.0151887	0.0219053	0.000973236	0.00677894	0.0554127	0.159927	0.077202	0.0296401	0.0122313	
1.92727	0.0864315	0.00376944	0.00339278	0.0115156	-0.00625503	0.0182019	-0.0135604	0.011352	-0.00429864	-0.0188005	0.00513678	0.014067	0.0169985	0.00393397	0.00630902	0.0463224	0.145049	0.0736779	0.0219097	0.0159464	
1.92752	0.0885598	0.00506663	0.00798197	0.00727397	-0.00788075	0.0138241	-0.0142646	0.00955522	-0.00741545	-0.0118118	0.00428602	0.012997	0.0175493	0.00443426	0.0049627	0.0373562	0.128603	0.0709505	0.0118223	0.0161976	
1.92776	0.0892466	0.0051392	0.0102144	0.00263537	-0.0104327	0.0105964	-0.0144178	0.00973188	-0.0090882	-0.00429326	0.000358038	0.0108851	0.021758	0.00299799	0.00269858	0.0284239	0.111479	0.0675045	0.00165702	0.0138324	
1.928	0.091074	0.00508882	0.010905	-0.00270623	-0.0118319	0.0113196	-0.0130811	0.0131418	-0.00809065	0.00224887	-0.00465455	0.0072207	0.0253292	0.000862008	-9.0351e-05	0.0205615	0.0948142	0.0627352	-0.00609875	0.0108821	
1.92825	0.0954527	0.00529	0.0104894	-0.00802232	-0.0112506	0.01346	-0.0116154	0.0183355	-0.00436154	0.00756355	-0.00747301	0.00349622	0.0252981	-0.000620277	-0.00285868	0.0137742	0.0807708	0.0580571	-0.00952907	0.00793774	
1.92849	0.101211	0.00522789	0.00845848	-0.0119074	-0.00889392	0.0149124	-0.0102413	0.0225444	-8.56847e-05	0.0111572	-0.00613795	0.00105254	0.0209837	0.000541092	-0.00488342	0.00592914	0.0712188	0.0567191	-0.00923793	0.00536996	
1.92873	0.106799	0.00462112	0.00530677	-0.0141408	-0.00544781	0.0167535	-0.00890401	0.024867	0.00242157	0.0122212	-0.00148744	-0.000490319	0.0132591	0.00481741	-0.00579685	-0.00418935	0.0662044	0.0610431	-0.00635717	0.00431279	
1.92898	0.112015	0.00439542	0.00156055	-0.0159655	-0.00172125	0.0186614	-0.00892912	0.0250512	0.0024719	0.00981116	0.00421436	-0.00165991	0.00459234	0.00956686	-0.00557525	-0.0147104	0.0646491	0.0691557	-0.00101961	0.0049017	
1.92922	0.117714	0.0056468	-0.00314856	-0.0171802	0.00163576	0.019146	-0.0103141	0.0238399	0.00132025	0.00407596	0.00869729	-0.00240783	-0.00300026	0.0117153	-0.00361745	-0.0224081	0.0657453	0.0760906	0.005093	0.00588717	
1.92946	0.12457	0.00798525	-0.00807148	-0.0164909	0.00362901	0.0172907	-0.0117065	0.0233301	7.32432e-06	-0.0025628	0.0112668	-0.00187413	-0.00918116	0.0105826	-0.000463709	-0.0266496	0.0677737	0.0784542	0.0104013	0.00701086	
1.9297	0.132603	0.0103218	-0.0111535	-0.0133656	0.00376914	0.0141281	-0.0125389	0.0238162	-0.0014797	-0.00787374	0.012137	0.000680553	-0.0135732	0.00793715	0.00328612	-0.0278649	0.0698948	0.0768559	0.0156968	0.00890355	
1.92995	0.141779	0.0119829	-0.0114784	-0.00899123	0.00275008	0.0110052	-0.013211	0.0235618	-0.00370085	-0.0121802	0.0101708	0.00439607	-0.0152246	0.00553324	0.00823453	-0.0248759	0.0724781	0.0747816	0.0222877	0.0115365	
1.93019	0.15256	0.0129762	-0.00985137	-0.00505832	0.00135221	0.00816227	-0.0138451	0.0218614	-0.0066414	-0.0165088	0.0047005	0.00794936	-0.0140321	0.00331698	0.0140378	-0.0178957	0.0751088	0.0751275	0.0308248	0.0135545	
1.93043	0.165894	0.012876	-0.0068452	-0.00232763	-0.000370435	0.00688162	-0.0139965	0.0196778	-0.00999242	-0.0204363	-0.00380735	0.0103966	-0.012127	-9.71713e-05	0.0179427	-0.00885433	0.0780741	0.0790788	0.0403602	0.0141037	
1.93068	0.182989	0.0120315	-0.00272019	-0.00128436	-0.00212145	0.00853787	-0.0138195	0.0182755	-0.0131115	-0.023022	-0.0138966	0.0111648	-0.011245	-0.00539309	0.0174798	-6.88682e-05	0.0824186	0.0872579	0.0497752	0.0134934	
1.93092	0.204386	0.01204	0.00155527	-0.002243	-0.00308154	0.0119194	-0.0139971	0.0179308	-0.0148593	-0.0244648	-0.0219331	0.010098	-0.0108062	-0.0108311	0.0129216	0.00576109	0.0873618	0.09858	0.0599011	0.0124773	
1.93116	0.229939	0.0132928	0.00543369	-0.00434499	-0.00364232	0.016379	-0.0149824	0.0176967	-0.0164055	-0.0250019	-0.0244398	0.00756089	-0.00991064	-0.0134207	0.00569732	0.00783097	0.0911181	0.109796	0.071743	0.0118944	
1.93141	0.259485	0.0152268	0.00870333	-0.00533656	-0.0032439	0.0230215	-0.0161579	0.0158423	-0.0191029	-0.0246241	-0.0219459	0.00390126	-0.00773889	-0.0127033	-0.00167005	0.00820585	0.0923997	0.119257	0.0846047	0.0119227	
1.93165	0.2915	0.0179946	0.0110519	-0.0034736	1.18608e-05	0.0306831	-0.0151075	0.0120957	-0.0210327	-0.0235909	-0.0179418	-2.8278e-05	-0.00447667	-0.0102598	-0.00659954	0.00819307	0.0917083	0.127755	0.0972042	0.0119649	
1.93189	0.323918	0.0217554	0.0129809	-0.000145775	0.00536813	0.0360872	-0.0103431	0.00897049	-0.0184239	-0.021306	-0.01546	-0.00300136	-0.00248529	-0.00739989	-0.00884227	0.00862759	0.0908788	0.136275	0.109003	0.0125435	
1.93214	0.356721	0.0258284	0.0150534	0.00206653	0.00934659	0.0381266	-0.00378396	0.00805865	-0.0100707	-0.0172781	-0.0148685	-0.00494665	-0.00455902	-0.00454372	-0.00980868	0.0109138	0.09138	0.146058	0.120358	0.0147554	
1.93238	0.392308	0.0298678	0.0173453	0.00344643	0.0110724	0.0381891	0.00207019	0.00790493	0.000247849	-0.012342	-0.0153382	-0.00645708	-0.00924843	-0.00169544	-0.0111537	0.0150768	0.0932327	0.158947	0.132614	0.0183724	
1.93262	0.433283	0.0323518	0.019286	0.00584548	0.0138538	0.0363467	0.00705346	0.00688625	0.00696211	-0.00753286	-0.0168826	-0.0070784	-0.0116229	0.000333281	-0.0132943	0.0194868	0.0961461	0.175831	0.145596	0.0216161	
1.93287	0.481861	0.0306278	0.0208761	0.00927958	0.0191416	0.0320718	0.0121601	0.00419466	0.0072573	-0.0034809	-0.0197888	-0.00548428	-0.00975093	0.000179015	-0.0148759	0.0219032	0.101014	0.194296	0.157616	0.0248404	
1.93311	0.541178	0.0251848	0.0222766	0.0120786	0.0247909	0.0262332	0.0178335	0.00031095	0.00248854	0.000368661	-0.0241514	-0.00130813	-0.00498306	-0.0015477	-0.014772	0.0209136	0.10777	0.211057	0.168531	0.0311839	
1.93335	0.615286	0.0199849	0.0234499	0.0134486	0.0286021	0.0202963	0.0227498	-0.00332716	-0.0055305	0.00431316	-0.0298445	0.00350416	0.000975676	-0.00328038	-0.0136631	0.0174086	0.114751	0.225611	0.178626	0.0409573	
