	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0.987597	0.0485253	0.242712	0.44528	0.176032	-0.0601658	-0.0517913	0.275465	0.196964	0.157018	0.102877	-0.0279239	-0.0451499	-0.0241749	-0.0115517	-0.0330936	0.0112836	-0.0295842	-0.0361259	-0.0214814	-0.0696936	
0.98784	0.0491672	0.237698	0.410754	0.159012	-0.0511347	-0.0428064	0.27719	0.192828	0.163806	0.111194	-0.023765	-0.0402072	-0.0257993	-0.0125348	-0.0308537	0.0105775	-0.0292133	-0.038691	-0.0217156	-0.0724296	
0.988083	0.0455388	0.227691	0.372713	0.141126	-0.0410224	-0.0371062	0.268693	0.185492	0.175241	0.120573	-0.0209561	-0.0328248	-0.0275851	-0.013069	-0.0311889	0.00460164	-0.0271678	-0.0426452	-0.0197852	-0.0722514	
0.988326	0.0383946	0.21284	0.334141	0.125812	-0.0310006	-0.0369721	0.255046	0.177004	0.190512	0.131703	-0.0181554	-0.0250308	-0.0308967	-0.0126633	-0.0351772	-0.00138061	-0.024223	-0.0467181	-0.0168371	-0.0705709	
0.98857	0.0301252	0.193911	0.297089	0.115551	-0.0204217	-0.0434977	0.242002	0.169706	0.208306	0.145511	-0.0131196	-0.0187278	-0.0348867	-0.0101838	-0.039051	-0.00412047	-0.0203751	-0.0492448	-0.0151454	-0.0695402	
0.988813	0.0223424	0.171727	0.263648	0.110576	-0.00817451	-0.0539354	0.230643	0.165571	0.230636	0.16113	-0.00589253	-0.0142352	-0.039547	-0.00509852	-0.0395671	-0.00331275	-0.0179537	-0.0511886	-0.0167198	-0.0681139	
0.989056	0.0170713	0.147284	0.23444	0.109048	0.00456894	-0.0640004	0.217519	0.164714	0.259855	0.175125	0.00172312	-0.011804	-0.045312	0.000522719	-0.0364348	-0.00114378	-0.0190731	-0.0528838	-0.0213915	-0.0645275	
0.989299	0.0173952	0.123838	0.207621	0.108776	0.0146869	-0.0713274	0.200352	0.164024	0.295958	0.18862	0.00846422	-0.010301	-0.0510668	0.00390877	-0.0314909	0.000995259	-0.0241277	-0.0522996	-0.0265408	-0.0605216	
0.989543	0.0228234	0.104312	0.181996	0.109682	0.0212738	-0.0751312	0.177597	0.161092	0.338257	0.206742	0.0148825	-0.00683624	-0.0560957	0.00488676	-0.0261527	0.00295935	-0.0300652	-0.050473	-0.0331214	-0.057621	
0.989786	0.0291979	0.0889956	0.158995	0.113735	0.0269524	-0.0771247	0.150396	0.15599	0.385116	0.230569	0.0225341	-0.000983111	-0.061051	0.00636269	-0.019463	0.00378629	-0.0331818	-0.0504994	-0.0438916	-0.0545462	
